id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hospital_patient,access.hospital.patient,model_hospital_patient,,1,1,1,1
access_hospital_ticket,access.hospital.ticket,model_hospital_ticket,,1,1,1,1
access_hospital_consultation,access.hospital.consultation,model_hospital_consultation,,1,1,1,1
access_hospital_appoinment,access.hospital.appoinment,model_hospital_appoinment,,1,1,1,1
access_hospital_line,access.hospital.line,model_hospital_line,,1,1,1,1
access_desease_patient,access.desease.patient,model_desease_patient,,1,1,1,1
access_hospital_op,access.hospital.op,model_hospital_op,,1,1,1,1
access_op_line,access.op.line,model_op_line,,1,1,1,1












